ﺷﻤﺎرﻩ درس	ﻧﺎم ﻻﺗﻴﻦ	ﻧﺎم درس	ﻧﻮع درس	ﻣﻘﻄﻊ	واﺣﺪ	همنیاز	پیشنیاز	زمان آخرین ارائه	استاد آخرین ارائه
22532	ELEM ALG GEOMETRY 	هندسه جبری مقدماتی	نظری	کارشناسی	4		22217		
22536	ALGEBRAIC GEOM 1	هندسه جبری 1	نظری	کارشناسی ارشد	4		22219	ترم پاییز 95-96	جعفری
22537	ALGEBRAIC GEOM 2	هندسه جبری 2	نظری	کارشناسی ارشد	4		22536		
22538	MODULAR FORMS 	فرمهای مدولار	نظری	کارشناسی ارشد	4		22219		
22539	PRINCIPLE BUNDES	فیبره های اصلی و کلاسهای مشخصه	نظری	کارشناسی ارشد	4		22582		
22541	DIFF GEOMETRY 	هندسه دیفرانسیل	نظری	مشترک	3		 22031 و 22261		
22542	ELEM DIFF GEOMETRY	هندسه دیفرانسیل مقدماتی	نظری	مشترک	4		22326		
22543	GEOMETRY ANALYSIS	آنالیز هندسی	نظری	کارشناسی	4		 22325 و 22255		
22544	GLOBAL DIFF GEOM	هندسه دیفرانسیل سرتاسری	نظری	کارشناسی	4		22542		
22547	GEOM COMPUTER DSGN 1	طراحی هندسی کامپیوتری	نظری	کارشناسی	3		22655		
22548	MANIFOLD COHOMOLOGY	کوهمولوژی منفیلد	نظری	کارشناسی ارشد	4				
22549	DIFF GEOMETRY 	هندسه دیفرانسیل	نظری	کارشناسی	4				
22551	TOPOLOGY 1	توپولوژی 1	نظری	مشترک	4		 22321 و 22325		
22552	GENERAL TOPOLOGY 2	توپولوژی عمومی 2	نظری	کارشناسی ارشد	4		22551		
22555	TOPOLOGY	توپولوژی	نظری	کارشناسی	5				
22556	TOPOLOGY 1	توپولوژی 1	نظری	کارشناسی	4		22325		
22557	TOPOLOGY 2	توپولوژی 2	نظری	کارشناسی ارشد	4		22556		
22559	TOPOLOGY 1	توپولوژی 1	نظری	کارشناسی	3		22321		
22560	ALG TOPOLOGY SEM	سمینار توپولوژی جبری	سمینار	کارشناسی ارشد	1				
22561	ALGEBRAIC TOPOLOGY	توپولوژی جبری	نظری	کارشناسی ارشد	4				
22562	ALG TOPOLOGY 2	توپولوژی جبری 2	نظری	کارشناسی ارشد	4		22561		
22563	TOPICS IN ALG TOPOLOGY	مباحثی در توپولوژی جبری	نظری	کارشناسی ارشد	4				
22564	INTRO DIFF TOPOLOGY 	توپولوژی دیفرانسیل مقدماتی	نظری	کارشناسی	4		 22326 و 22556		
22565	INTRO ALG TOPOLOGY	آشنایی با توپولوژی جبری	نظری	کارشناسی	4		 22556 و 22217		
22567	TOPICS IN GEOMETRY	مباحثی در هندسه	نظری	کارشناسی ارشد	4				
22568	TOPICS IN TOPOLOGY	مباحثی در توپولوژی	نظری	کارشناسی ارشد	2				
22569	TOPOLOGY 2	توپولوژی 2	نظری	کارشناسی	3				
22570	DIFF TOPOLOGY SEM	سمینار توپولوژی دیفرانسیل	سمینار	کارشناسی ارشد	1				
22571	DIFF TOPOLOGY 	توپولوژی دیفرانسیل	نظری	کارشناسی ارشد	4				
