ﺷﻤﺎرﻩ درس	ﻧﺎم ﻻﺗﻴﻦ	ﻧﺎم درس	ﻧﻮع درس	ﻣﻘﻄﻊ	واﺣﺪ	همنیاز	پیشنیاز	زمان آخرین ارائه	استاد آخرین ارائه
22685	DISCRETE STRUCT 	ساختمانهای گسسته	نظری	کارشناسی	3		 22014 و 22013		
22686	COMPILERS & ASSMBS	کامپایلر و اسمبلر	نظری	کارشناسی ارشد	3		 22682 و 22683		
22687	COMPUTER ORGAN 2	سازمان کامپیوتر 2	نظری	کارشناسی ارشد	3		22684		
22689	SIMULATION	شبیهسازی	نظری	مشترک	3				
22690	GEOM DESIGN SEM	سمینار طراحی هندسی	سمینار	کارشناسی ارشد	1				
22691	SWITCHING THEORY	نظریه سوئیچینگ	نظری	مشترک	3		22685		
22697	FAULT TOLERANT COMM	ارتباطات خطاپذیر	نظری	کارشناسی ارشد	3				
22700	NUM ANALYSIS SEM	سمینار آنالیز عددی	سمینار	کارشناسی ارشد	1				
22701	SCI COMPU SEM	سمینار محاسبات علمی	سمینار	کارشناسی ارشد	1				
22710	STATISTICS SEM	سمینار آمار	نظری	مشترک	2				
22720	SET THEORY SEM	سمینار نظریه مجموعه ها	سمینار	کارشناسی ارشد	1				
22729	PARTIAL DIFF EQN 	معادلات دیفرانسیل پارهای	نظری	کارشناسی	3				
22730	PDE SEM	سمینار معادلات دیفرانسیل با مشتقات جزئی	سمینار	کارشناسی ارشد	1			ترم پاییز 95-96	حصارکی
22739	ADVANCED CALCULUS 	حسابان پیشرفته	نظری	کارشناسی	4				
22740	OPTI CONTROL SEM	سمینار کنترل بهینه	سمینار	کارشناسی ارشد	1				
22750	MICROPROCESSORS 	ریزپردازنده ها	نظری	مشترک	1		22923		
22760	TOPICS IN PDE SEM 	مباحث پیشرفته در معادلات دیفرانسیل پارهای	سمینار	کارشناسی ارشد	1				
22770	COMPUTER SCI SEM	سمینار نظریه مدل و کامپیوتر	سمینار	کارشناسی ارشد	1				
22772	COMPUTER SCI THEORY	نظریه علوم کامپیوتر	نظری	کارشناسی ارشد	4				
22773	DOMAIN THEORY 	نظریه دامنه ها و کاربردهای آن	نظری	کارشناسی ارشد	2				
22780	COMPUTER SCI SEM	سمینار علوم کامپیوتر	سمینار	مشترک	1		22923		
22781	TOPICS IN DATA COMM	مباحثی در انتقال اطلاعات	نظری	مشترک	1		22684		
22782	DATABASE MNGMT	مدیریت پایگاه داده ها	نظری	مشترک	1		22682		
22790	ADV COMPUTER SCI SEM	سمینار علوم کامپیوتر	سمینار	مشترک	1				
22807	TECHNICAL PRESENTN	نمایش تکنیکی	نظری	کارشناسی	2				
22810	CRYP THEORY	رمزشناسی	نظری	کارشناسی	4				
22811	FUND COMPUTER & PROG	مبانی کامپیوتر و برنامه نویسی	نظری	کارشناسی	4		22015	ترم پاییز 95-96	زارعی
